HallTicketNo,Name,Branch,Year,Semester,Regulation
23P61A6778,Shravan Gaddam,CSE-DS,III,II,R22
23P61A6779,Shruti Bandi,CSE-DS,III,II,R22
23P61A6780,Srujan Konduru,CSE-DS,III,II,R22
23P61A6781,Sravani Reddy,CSE-DS,III,II,R22
23P61A6782,Sudheer Sharma,CSE-DS,III,II,R22
23P61A6783,Sujith Gupta,CSE-DS,III,II,R22
23P61A6784,Sumanth Joshi,CSE-DS,III,II,R22
23P61A6785,Supriya Mishra,CSE-DS,III,II,R22
23P61A6786,Swaroop Yadav,CSE-DS,III,II,R22
23P61A6787,Tanvi Nair,CSE-DS,III,II,R22
23P61A6788,Tarun Raju,CSE-DS,III,II,R22
23P61A6789,Tejaswini Shetty,CSE-DS,III,II,R22
23P61A6790,Trisha Kota,CSE-DS,III,II,R22
23P61A6791,Vamshi Bandari,CSE-DS,III,II,R22
23P61A6792,Vamsi Akula,CSE-DS,III,II,R22
23P61A6793,Vidyut Thota,CSE-DS,III,II,R22
23P61A6794,Vikram Medisetti,CSE-DS,III,II,R22
23P61A6795,Vinay Goud,CSE-DS,III,II,R22
23P61A6796,Vishnu Chowdary,CSE-DS,III,II,R22
23P61A6797,Vivek Kumar,CSE-DS,III,II,R22
23P61A6798,Aarav Mishra,CSE-DS,III,II,R22
23P61A6799,Ananya Yadav,CSE-DS,III,II,R22
23P61A67A0,Aditya Nair,CSE-DS,III,II,R22
23P61A67A1,Bhavana Raju,CSE-DS,III,II,R22
23P61A67A2,Chaitanya Shetty,CSE-DS,III,II,R22
23P61A67A3,Divya Kota,CSE-DS,III,II,R22
23P61A67A4,Eeshwar Bandari,CSE-DS,III,II,R22
23P61A67A5,Farhan Akula,CSE-DS,III,II,R22
23P61A67A6,Gautam Thota,CSE-DS,III,II,R22
23P61A67A7,Harini Medisetti,CSE-DS,III,II,R22
23P61A67A8,Ishaan Goud,CSE-DS,III,II,R22
23P61A67A9,Javaji Chowdary,CSE-DS,III,II,R22
23P61A67B0,Kavya Kumar,CSE-DS,III,II,R22
23P61A67B1,Kiran Vadde,CSE-DS,III,II,R22
23P61A67B2,Lokesh Singh,CSE-DS,III,II,R22
23P61A67B3,Manasa Deshmukh,CSE-DS,III,II,R22
23P61A67B4,Nikhil Bhat,CSE-DS,III,II,R22
23P61A67B5,Niharika Verma,CSE-DS,III,II,R22
23P61A67B6,Omkar Katta,CSE-DS,III,II,R22
23P61A67B7,Pranav Koppula,CSE-DS,III,II,R22
23P61A67B8,Pooja Gundeti,CSE-DS,III,II,R22
23P61A67B9,Rahul Erra,CSE-DS,III,II,R22
23P61A67C0,Ramya Vemula,CSE-DS,III,II,R22
23P61A0501,Aarav Reddy,CSE,III,II,R22
23P61A0502,Ananya Sharma,CSE,III,II,R22
23P61A0503,Aditya Gupta,CSE,III,II,R22
23P61A0504,Bhavana Joshi,CSE,III,II,R22
23P61A0505,Chaitanya Mishra,CSE,III,II,R22
23P61A0506,Divya Yadav,CSE,III,II,R22
23P61A0507,Eeshwar Nair,CSE,III,II,R22
23P61A0508,Farhan Raju,CSE,III,II,R22
23P61A0509,Gautam Shetty,CSE,III,II,R22
23P61A0510,Harini Kota,CSE,III,II,R22
23P61A0511,Ishaan Bandari,CSE,III,II,R22
23P61A0512,Javaji Akula,CSE,III,II,R22
23P61A0513,Kavya Thota,CSE,III,II,R22
23P61A0514,Kiran Medisetti,CSE,III,II,R22
23P61A0515,Lokesh Goud,CSE,III,II,R22
23P61A0516,Manasa Chowdary,CSE,III,II,R22
23P61A0517,Nikhil Kumar,CSE,III,II,R22
23P61A0518,Niharika Vadde,CSE,III,II,R22
23P61A0519,Omkar Singh,CSE,III,II,R22
23P61A0520,Pranav Deshmukh,CSE,III,II,R22
23P61A0521,Pooja Bhat,CSE,III,II,R22
23P61A0522,Rahul Verma,CSE,III,II,R22
23P61A0523,Ramya Katta,CSE,III,II,R22
23P61A0524,Sai Koppula,CSE,III,II,R22
23P61A0525,Siddharth Gundeti,CSE,III,II,R22
23P61A0526,Srikanth Erra,CSE,III,II,R22
23P61A0527,Sneha Vemula,CSE,III,II,R22
23P61A0528,Teja Rao,CSE,III,II,R22
23P61A0529,Tharun Varma,CSE,III,II,R22
23P61A0530,Uma Kaur,CSE,III,II,R22
23P61A0531,Varun Naidu,CSE,III,II,R22
23P61A0532,Venkatesh Patel,CSE,III,II,R22
23P61A0533,Yashwanth Kulkarni,CSE,III,II,R22
23P61A0534,Zoya Pillai,CSE,III,II,R22
23P61A0535,Abhinav Prasad,CSE,III,II,R22
23P61A0536,Akhil Mudiraj,CSE,III,II,R22
23P61A0537,Akshaya Bollam,CSE,III,II,R22
23P61A0538,Alekhya Gaddam,CSE,III,II,R22
23P61A0539,Anushree Bandi,CSE,III,II,R22
23P61A0540,Aravind Konduru,CSE,III,II,R22
23P61A0541,Archana Reddy,CSE,III,II,R22
23P61A0542,Ashok Sharma,CSE,III,II,R22
23P61A0543,Bharath Gupta,CSE,III,II,R22
23P61A0544,Charan Joshi,CSE,III,II,R22
23P61A0545,Deepak Mishra,CSE,III,II,R22
23P61A0546,Deepika Yadav,CSE,III,II,R22
23P61A0547,Dinesh Nair,CSE,III,II,R22
23P61A0548,Ganesh Raju,CSE,III,II,R22
23P61A0549,Gayatri Shetty,CSE,III,II,R22
23P61A0550,Gopi Kota,CSE,III,II,R22
23P61A0551,Harish Bandari,CSE,III,II,R22
23P61A0552,Harshitha Akula,CSE,III,II,R22
23P61A0553,Hemanth Thota,CSE,III,II,R22
23P61A0554,Jahnavi Medisetti,CSE,III,II,R22
23P61A0555,Karthik Goud,CSE,III,II,R22
23P61A0556,Keerthi Chowdary,CSE,III,II,R22
23P61A0557,Krishna Kumar,CSE,III,II,R22
23P61A0558,Madhuri Vadde,CSE,III,II,R22
23P61A0559,Manish Singh,CSE,III,II,R22
23P61A0560,Meghana Deshmukh,CSE,III,II,R22
23P61A0561,Mounika Bhat,CSE,III,II,R22
23P61A0562,Naveen Verma,CSE,III,II,R22
23P61A0563,Nisha Katta,CSE,III,II,R22
23P61A0564,Pavan Koppula,CSE,III,II,R22
23P61A0565,Prashanth Gundeti,CSE,III,II,R22
23P61A0566,Pravallika Erra,CSE,III,II,R22
23P61A0567,Preeti Vemula,CSE,III,II,R22
23P61A0568,Rajesh Rao,CSE,III,II,R22
23P61A0569,Rakesh Varma,CSE,III,II,R22
23P61A0570,Rishitha Kaur,CSE,III,II,R22
23P61A0571,Rohit Naidu,CSE,III,II,R22
23P61A0572,Roshni Patel,CSE,III,II,R22
23P61A0573,Sachin Kulkarni,CSE,III,II,R22
23P61A0574,Saikiran Pillai,CSE,III,II,R22
23P61A0575,Sandhya Prasad,CSE,III,II,R22
23P61A0576,Sanjay Mudiraj,CSE,III,II,R22
23P61A0577,Sathvik Bollam,CSE,III,II,R22
23P61A0578,Shravan Gaddam,CSE,III,II,R22
23P61A0579,Shruti Bandi,CSE,III,II,R22
23P61A0580,Srujan Konduru,CSE,III,II,R22
23P61A0581,Sravani Reddy,CSE,III,II,R22
23P61A0582,Sudheer Sharma,CSE,III,II,R22
23P61A0583,Sujith Gupta,CSE,III,II,R22
23P61A0584,Sumanth Joshi,CSE,III,II,R22
23P61A0585,Supriya Mishra,CSE,III,II,R22
23P61A0586,Swaroop Yadav,CSE,III,II,R22
23P61A0587,Tanvi Nair,CSE,III,II,R22
23P61A0588,Tarun Raju,CSE,III,II,R22
23P61A0589,Tejaswini Shetty,CSE,III,II,R22
23P61A0590,Trisha Kota,CSE,III,II,R22
23P61A0591,Vamshi Bandari,CSE,III,II,R22
23P61A0592,Vamsi Akula,CSE,III,II,R22
23P61A0593,Vidyut Thota,CSE,III,II,R22
23P61A0594,Vikram Medisetti,CSE,III,II,R22
23P61A0595,Vinay Goud,CSE,III,II,R22
23P61A0596,Vishnu Chowdary,CSE,III,II,R22
23P61A0597,Vivek Kumar,CSE,III,II,R22
23P61A0598,Aarav Mishra,CSE,III,II,R22
23P61A0599,Ananya Yadav,CSE,III,II,R22
23P61A05A0,Aditya Nair,CSE,III,II,R22
23P61A05A1,Bhavana Raju,CSE,III,II,R22
23P61A05A2,Chaitanya Shetty,CSE,III,II,R22
23P61A05A3,Divya Kota,CSE,III,II,R22
23P61A05A4,Eeshwar Bandari,CSE,III,II,R22
23P61A05A5,Farhan Akula,CSE,III,II,R22
23P61A05A6,Gautam Thota,CSE,III,II,R22
23P61A05A7,Harini Medisetti,CSE,III,II,R22
23P61A05A8,Ishaan Goud,CSE,III,II,R22
23P61A05A9,Javaji Chowdary,CSE,III,II,R22
23P61A05B0,Kavya Kumar,CSE,III,II,R22
23P61A05B1,Kiran Vadde,CSE,III,II,R22
23P61A05B2,Lokesh Singh,CSE,III,II,R22
23P61A05B3,Manasa Deshmukh,CSE,III,II,R22
23P61A05B4,Nikhil Bhat,CSE,III,II,R22
23P61A05B5,Niharika Verma,CSE,III,II,R22
23P61A05B6,Omkar Katta,CSE,III,II,R22
23P61A05B7,Pranav Koppula,CSE,III,II,R22
23P61A05B8,Pooja Gundeti,CSE,III,II,R22
23P61A05B9,Rahul Erra,CSE,III,II,R22
23P61A05C0,Ramya Vemula,CSE,III,II,R22
23P61A0401,Aarav Reddy,ECE,III,II,R22
23P61A0402,Ananya Sharma,ECE,III,II,R22
23P61A0403,Aditya Gupta,ECE,III,II,R22
23P61A0404,Bhavana Joshi,ECE,III,II,R22
23P61A0405,Chaitanya Mishra,ECE,III,II,R22
23P61A0406,Divya Yadav,ECE,III,II,R22
23P61A0407,Eeshwar Nair,ECE,III,II,R22
23P61A0408,Farhan Raju,ECE,III,II,R22
23P61A0409,Gautam Shetty,ECE,III,II,R22
23P61A0410,Harini Kota,ECE,III,II,R22
23P61A0411,Ishaan Bandari,ECE,III,II,R22
23P61A0412,Javaji Akula,ECE,III,II,R22
23P61A0413,Kavya Thota,ECE,III,II,R22
23P61A0414,Kiran Medisetti,ECE,III,II,R22
23P61A0415,Lokesh Goud,ECE,III,II,R22
23P61A0416,Manasa Chowdary,ECE,III,II,R22
23P61A0417,Nikhil Kumar,ECE,III,II,R22
23P61A0418,Niharika Vadde,ECE,III,II,R22
23P61A0419,Omkar Singh,ECE,III,II,R22
23P61A0420,Pranav Deshmukh,ECE,III,II,R22
23P61A0421,Pooja Bhat,ECE,III,II,R22
23P61A0422,Rahul Verma,ECE,III,II,R22
23P61A0423,Ramya Katta,ECE,III,II,R22
23P61A0424,Sai Koppula,ECE,III,II,R22
23P61A0425,Siddharth Gundeti,ECE,III,II,R22
23P61A0426,Srikanth Erra,ECE,III,II,R22
23P61A0427,Sneha Vemula,ECE,III,II,R22
23P61A0428,Teja Rao,ECE,III,II,R22
23P61A0429,Tharun Varma,ECE,III,II,R22
23P61A0430,Uma Kaur,ECE,III,II,R22
23P61A0431,Varun Naidu,ECE,III,II,R22
23P61A0432,Venkatesh Patel,ECE,III,II,R22
23P61A0433,Yashwanth Kulkarni,ECE,III,II,R22
23P61A0434,Zoya Pillai,ECE,III,II,R22
23P61A0435,Abhinav Prasad,ECE,III,II,R22
23P61A0436,Akhil Mudiraj,ECE,III,II,R22
23P61A0437,Akshaya Bollam,ECE,III,II,R22
23P61A0438,Alekhya Gaddam,ECE,III,II,R22
23P61A0439,Anushree Bandi,ECE,III,II,R22
23P61A0440,Aravind Konduru,ECE,III,II,R22
23P61A0441,Archana Reddy,ECE,III,II,R22
23P61A0442,Ashok Sharma,ECE,III,II,R22
23P61A0443,Bharath Gupta,ECE,III,II,R22
23P61A0444,Charan Joshi,ECE,III,II,R22
23P61A0445,Deepak Mishra,ECE,III,II,R22
23P61A0446,Deepika Yadav,ECE,III,II,R22
23P61A0447,Dinesh Nair,ECE,III,II,R22
23P61A0448,Ganesh Raju,ECE,III,II,R22
23P61A0449,Gayatri Shetty,ECE,III,II,R22
23P61A0450,Gopi Kota,ECE,III,II,R22
23P61A0451,Harish Bandari,ECE,III,II,R22
23P61A0452,Harshitha Akula,ECE,III,II,R22
23P61A0453,Hemanth Thota,ECE,III,II,R22
23P61A0454,Jahnavi Medisetti,ECE,III,II,R22
23P61A0455,Karthik Goud,ECE,III,II,R22
23P61A0456,Keerthi Chowdary,ECE,III,II,R22
23P61A0457,Krishna Kumar,ECE,III,II,R22
23P61A0458,Madhuri Vadde,ECE,III,II,R22
23P61A0459,Manish Singh,ECE,III,II,R22
23P61A0460,Meghana Deshmukh,ECE,III,II,R22
23P61A0461,Mounika Bhat,ECE,III,II,R22
23P61A0462,Naveen Verma,ECE,III,II,R22
23P61A0463,Nisha Katta,ECE,III,II,R22
23P61A0464,Pavan Koppula,ECE,III,II,R22
23P61A0465,Prashanth Gundeti,ECE,III,II,R22
23P61A0466,Pravallika Erra,ECE,III,II,R22
23P61A0467,Preeti Vemula,ECE,III,II,R22
23P61A0468,Rajesh Rao,ECE,III,II,R22
23P61A0469,Rakesh Varma,ECE,III,II,R22
23P61A0470,Rishitha Kaur,ECE,III,II,R22
23P61A0471,Rohit Naidu,ECE,III,II,R22
23P61A0472,Roshni Patel,ECE,III,II,R22
23P61A0473,Sachin Kulkarni,ECE,III,II,R22
23P61A0474,Saikiran Pillai,ECE,III,II,R22
23P61A0475,Sandhya Prasad,ECE,III,II,R22
23P61A0476,Sanjay Mudiraj,ECE,III,II,R22
23P61A0477,Sathvik Bollam,ECE,III,II,R22
23P61A0478,Shravan Gaddam,ECE,III,II,R22
23P61A0479,Shruti Bandi,ECE,III,II,R22
23P61A0480,Srujan Konduru,ECE,III,II,R22
